CUS_ID,CT_PORTAL,CT_SEARCH,CT_SHOP,CT_NEWS,CT_MAIL,CT_COMMUNITY,CT_BLOG_SNS,CT_ENTERTAIN,CT_FINANCE,CT_SHOP_INFO,CT_BUSINESS,CT_INTERNET,CT_DOWNLOAD,CT_PUBLIC,CT_GAME,CT_EDU,CT_ETC,COVERAGE,DWELLTIME,PAGEVIEWS,HF0005,HF0611,HF1217,HF1823,DF_MON,DF_TUE,DF_WED,DF_THU,DF_FRI,DF_SAT,DF_SUN,VSITES,SITECOV,VDAYS,DAYTIME,DAYCOV,SCH_KEYWORDS,SCH_TOPKEYWORD,GENDER
1,0.093,0.136,0.001,0.28,0.029,0.192,0.029,0.205,0.001,0.001,0.006,0.001,0.005,0,0.001,0.015,0.008,0.074,357978,13656,0.351,0.248,0.237,0.164,0.15,0.181,0.165,0.163,0.131,0.081,0.129,201,4.272,205,1746,1.481,399,타이젬,남자
2,0.059,0.118,0.323,0.028,0.119,0.017,0.072,0.015,0.011,0.068,0.089,0.043,0.011,0.001,0.001,0.001,0.025,0.148,836048,25498,0.003,0.26,0.52,0.217,0.172,0.248,0.155,0.241,0.176,0.007,0,573,5.434,105,7962,0.484,1346,티몬,여자
3,0.43,0.107,0.179,0.019,0.164,0.012,0.017,0.007,0.001,0.005,0.007,0.002,0.024,0.002,0,0,0.024,0.078,388378,10413,0.021,0.362,0.443,0.173,0.252,0.188,0.116,0.213,0.167,0.026,0.038,270,5.965,105,3699,0.7,329,야놀자,여자
4,0.218,0.078,0.039,0.26,0.041,0.173,0.066,0.004,0.037,0.018,0.007,0.027,0.009,0.011,0,0,0.01,0.069,275572,12831,0.202,0.19,0.374,0.234,0.205,0.139,0.264,0.144,0.157,0.054,0.037,166,4.309,107,2575,1.144,134,아이엠간지,남자
5,0.332,0.223,0.033,0.2,0.003,0.039,0.039,0.003,0.046,0.028,0,0.006,0.008,0.023,0.002,0.007,0.009,0.113,501922,13267,0.012,0.253,0.432,0.303,0.238,0.14,0.132,0.181,0.149,0.132,0.028,328,5.75,151,3324,1.058,511,에스티아이,남자
6,0.009,0.251,0.103,0.004,0.025,0.014,0.069,0.006,0.087,0.074,0.006,0.029,0,0.098,0,0.213,0.011,0.045,56543,1972,0,0.423,0.49,0.086,0.242,0.16,0.153,0.177,0.133,0.12,0.015,85,2.729,79,716,1.196,62,다나와,남자
7,0.219,0.157,0.006,0.149,0.009,0.002,0.3,0.018,0.102,0,0.007,0,0.001,0.015,0,0.007,0.008,0.097,573113,20063,0.12,0.179,0.374,0.327,0.182,0.128,0.142,0.159,0.153,0.098,0.139,228,5.749,243,2358,1.259,87,부산 날씨,여자
8,0.08,0.184,0.118,0.015,0.047,0.018,0.053,0.002,0.159,0.031,0.004,0.171,0.004,0.048,0,0,0.067,0.08,101640,5871,0,0.377,0.515,0.109,0.208,0.2,0.21,0.223,0.159,0,0,316,4.183,173,588,1.403,108,홍대미용실,남자
9,0.271,0.107,0.226,0.054,0.007,0.069,0.039,0.102,0,0.018,0.002,0.012,0.057,0.001,0.01,0.004,0.023,0.138,535910,22054,0.702,0.058,0.082,0.158,0.135,0.15,0.169,0.168,0.165,0.08,0.134,438,5.136,255,2102,0.991,464,엘소드,남자
10,0.778,0.023,0.003,0.064,0.005,0.002,0.004,0.002,0.014,0,0,0.003,0.002,0,0.094,0,0.005,0.095,1222047,43544,0.164,0.322,0.319,0.195,0.182,0.175,0.162,0.168,0.102,0.103,0.107,236,9.877,116,10535,0.565,290,현대카드,남자
11,0.039,0.077,0.298,0.029,0.029,0.01,0.021,0.005,0.056,0.027,0.07,0.047,0.204,0.024,0.008,0,0.057,0.112,90562,5582,0.126,0.048,0.373,0.453,0.146,0.157,0.201,0.136,0.064,0.148,0.148,450,4.93,123,736,1.467,82,퓨전파워,남자
12,0.08,0.093,0,0.071,0.035,0.181,0.017,0.023,0.083,0.013,0,0.024,0.012,0.001,0.119,0.238,0.01,0.04,68144,4376,0,0.173,0.512,0.315,0.074,0.172,0.077,0.113,0.083,0.127,0.354,68,2.055,113,603,1.479,12,오빤 강남스타일&acr=6&qdt=0&ie=utf8&query=오빤 강남스타일 듣기,남자
13,0.097,0.031,0.001,0.521,0.041,0.052,0.004,0.004,0.118,0,0,0.006,0,0.06,0,0.002,0.062,0.052,426988,10672,0,0.402,0.521,0.077,0.159,0.151,0.177,0.21,0.148,0.126,0.028,129,5.519,153,2791,0.528,84,내일오전날씨,남자
14,0.009,0.043,0.183,0.002,0.63,0.009,0.013,0.007,0.002,0.013,0.009,0.022,0.005,0.004,0,0.003,0.046,0.094,644274,21572,0,0.404,0.474,0.122,0.242,0.184,0.217,0.16,0.177,0.02,0,218,9.329,100,6443,0.639,658,거리뷰,여자
15,0.249,0.074,0.416,0.005,0.006,0.005,0.038,0.005,0.01,0.022,0.02,0.117,0,0.002,0,0,0.031,0.098,595743,25967,0.054,0.396,0.335,0.214,0.127,0.171,0.188,0.165,0.147,0.115,0.088,330,5.395,174,3424,0.874,656,토탈퀵,여자
